"variable","group","value","level"
"Serum cotinine, ng/mL","Normouricemia + none/mild periodontitis","0.0 [0.0-0.2]","Weighted median [IQR]"
"Serum cotinine, ng/mL","Normouricemia + moderate/severe periodontitis","0.1 [0.0-202.0]","Weighted median [IQR]"
"Serum cotinine, ng/mL","Hyperuricemia + none/mild periodontitis","0.0 [0.0-0.4]","Weighted median [IQR]"
"Serum cotinine, ng/mL","Hyperuricemia + moderate/severe periodontitis","0.1 [0.0-177.0]","Weighted median [IQR]"
"Serum uric acid, mg/dL","Normouricemia + none/mild periodontitis","5.0 +/- 0.0","Weighted mean +/- SE"
"Serum uric acid, mg/dL","Normouricemia + moderate/severe periodontitis","5.1 +/- 0.0","Weighted mean +/- SE"
"Serum uric acid, mg/dL","Hyperuricemia + none/mild periodontitis","7.5 +/- 0.0","Weighted mean +/- SE"
"Serum uric acid, mg/dL","Hyperuricemia + moderate/severe periodontitis","7.6 +/- 0.1","Weighted mean +/- SE"
"Diabetes","Normouricemia + none/mild periodontitis","629 (9.1)","Yes"
"Diabetes","Normouricemia + moderate/severe periodontitis","437 (17.9)","Yes"
"Diabetes","Hyperuricemia + none/mild periodontitis","234 (17.2)","Yes"
"Diabetes","Hyperuricemia + moderate/severe periodontitis","136 (19.4)","Yes"
"Hypertension","Normouricemia + none/mild periodontitis","2506 (44.5)","Yes"
"Hypertension","Normouricemia + moderate/severe periodontitis","1270 (59.3)","Yes"
"Hypertension","Hyperuricemia + none/mild periodontitis","778 (70.5)","Yes"
"Hypertension","Hyperuricemia + moderate/severe periodontitis","427 (80.5)","Yes"
"Cardiovascular disease","Normouricemia + none/mild periodontitis","287 (4.5)","Yes"
"Cardiovascular disease","Normouricemia + moderate/severe periodontitis","246 (11.2)","Yes"
"Cardiovascular disease","Hyperuricemia + none/mild periodontitis","124 (9.4)","Yes"
"Cardiovascular disease","Hyperuricemia + moderate/severe periodontitis","97 (17.3)","Yes"
"eGFR, mL/min/1.73m2","Normouricemia + none/mild periodontitis","95.9 +/- 0.3","Weighted mean +/- SE"
"eGFR, mL/min/1.73m2","Normouricemia + moderate/severe periodontitis","93.0 +/- 0.6","Weighted mean +/- SE"
"eGFR, mL/min/1.73m2","Hyperuricemia + none/mild periodontitis","85.1 +/- 0.8","Weighted mean +/- SE"
"eGFR, mL/min/1.73m2","Hyperuricemia + moderate/severe periodontitis","79.3 +/- 1.2","Weighted mean +/- SE"
"UACR, mg/g","Normouricemia + none/mild periodontitis","6.1 [4.2-10.0]","Weighted median [IQR]"
"UACR, mg/g","Normouricemia + moderate/severe periodontitis","7.0 [4.6-13.8]","Weighted median [IQR]"
"UACR, mg/g","Hyperuricemia + none/mild periodontitis","6.3 [4.2-12.9]","Weighted median [IQR]"
"UACR, mg/g","Hyperuricemia + moderate/severe periodontitis","8.8 [4.8-21.0]","Weighted median [IQR]"
"CKD","Normouricemia + none/mild periodontitis","558 (8.4)","Yes"
"CKD","Normouricemia + moderate/severe periodontitis","357 (14.3)","Yes"
"CKD","Hyperuricemia + none/mild periodontitis","285 (20.7)","Yes"
"CKD","Hyperuricemia + moderate/severe periodontitis","192 (34.3)","Yes"
"Gout","Normouricemia + none/mild periodontitis","125 (2.4)","Yes"
"Gout","Normouricemia + moderate/severe periodontitis","82 (4.1)","Yes"
"Gout","Hyperuricemia + none/mild periodontitis","101 (8.9)","Yes"
"Gout","Hyperuricemia + moderate/severe periodontitis","58 (9.7)","Yes"
"Urate-lowering therapy","Normouricemia + none/mild periodontitis","57 (1.2)","Yes"
"Urate-lowering therapy","Normouricemia + moderate/severe periodontitis","26 (1.4)","Yes"
"Urate-lowering therapy","Hyperuricemia + none/mild periodontitis","15 (1.2)","Yes"
"Urate-lowering therapy","Hyperuricemia + moderate/severe periodontitis","11 (2.0)","Yes"
"Diuretic use","Normouricemia + none/mild periodontitis","463 (7.9)","Yes"
"Diuretic use","Normouricemia + moderate/severe periodontitis","254 (11.8)","Yes"
"Diuretic use","Hyperuricemia + none/mild periodontitis","311 (26.5)","Yes"
"Diuretic use","Hyperuricemia + moderate/severe periodontitis","193 (33.8)","Yes"
"Follow-up time, years","Normouricemia + none/mild periodontitis","7.8 [6.2-9.4]","Weighted median [IQR]"
"Follow-up time, years","Normouricemia + moderate/severe periodontitis","7.8 [6.2-9.2]","Weighted median [IQR]"
"Follow-up time, years","Hyperuricemia + none/mild periodontitis","7.8 [6.2-9.2]","Weighted median [IQR]"
"Follow-up time, years","Hyperuricemia + moderate/severe periodontitis","7.8 [5.5-9.2]","Weighted median [IQR]"
"All-cause deaths","Normouricemia + none/mild periodontitis","284",""
"All-cause deaths","Normouricemia + moderate/severe periodontitis","245",""
"All-cause deaths","Hyperuricemia + none/mild periodontitis","114",""
"All-cause deaths","Hyperuricemia + moderate/severe periodontitis","100",""
