"joint_phenotype","unweighted_N","deaths","person_years","mortality_rate_per_1000_py","rate_95ci_lower","rate_95ci_upper","weighted_rate_per_1000_py","weighted_rate_status","interpretation","source_dataset","v20_use_boundary_note"
"normouricemia + none/mild",5382,284,41939.1666666667,6.77171299699962,6.00696746163448,7.606844875059,,"not_estimated_v20","descriptive_unweighted_supplement_only","v20 public raw-only final analytic cohort; participant-level rows not public","Supplementary descriptive person-time context only; not causal evidence and not a replacement for survey-weighted Cox models."
"normouricemia + moderate/severe",2035,245,15510.1666666667,15.7960907361838,13.8799000375541,17.9028865806772,,"not_estimated_v20","descriptive_unweighted_supplement_only","v20 public raw-only final analytic cohort; participant-level rows not public","Supplementary descriptive person-time context only; not causal evidence and not a replacement for survey-weighted Cox models."
"hyperuricemia + none/mild",1083,114,8208.5,13.888042882378,11.4559227827198,16.6837818829305,,"not_estimated_v20","descriptive_unweighted_supplement_only","v20 public raw-only final analytic cohort; participant-level rows not public","Supplementary descriptive person-time context only; not causal evidence and not a replacement for survey-weighted Cox models."
"hyperuricemia + moderate/severe",518,100,3852.16666666667,25.9594167784364,21.1216175963976,31.5736063148253,,"not_estimated_v20","descriptive_unweighted_supplement_only","v20 public raw-only final analytic cohort; participant-level rows not public","Supplementary descriptive person-time context only; not causal evidence and not a replacement for survey-weighted Cox models."
